"tema","idGuest","convidado","total"
"Comportamento",1212122465,"Afonso 3d",9
"Comportamento",1212122862,"Atila",7
"Comportamento",2595,"Eduardo Spohr",6
"Comportamento",3508,"Guga Ferrari",6
"Comportamento",1212141891,"Leandro Leite Soares",6
"Comportamento",1212139440,"Patrícia Mafra",6
"Comportamento",1212138572,"Altay Souza",5
"Comportamento",3244,"Bluehand",5
"Comportamento",1212141820,"Daniella Freixo de Faria",5
"Comportamento",1212126189,"Flávio Augusto",5
"Comportamento",1212131200,"Maurício Linhares",5
"Comportamento",1212123226,"Rex",5
"Comportamento",1212141924,"Alan Dubox",4
"Comportamento",1212122317,"Gaveta",4
"Comportamento",1212128349,"Irado",4
"Comportamento",1212141894,"Marcela Soares",4
"Comportamento",1212130385,"Paulo Silveira",4
"Comportamento",1212141282,"Ricardo di Lazzaro Filho",4
"Comportamento",1212122796,"Beto Estrada",3
"Comportamento",1212123564,"Caio Gomes",3
"Comportamento",1212122799,"Fabio Yabu",3
"Comportamento",1212122798,"Francine Gladulich",3
"Comportamento",1212124836,"Guga Mafra",3
"Comportamento",1212138256,"Lierson Mattenhauer",3
"Comportamento",1212141781,"Mario Souto",3
"Comportamento",1212141845,"Pedro Duarte",3
"Comportamento",1212139351,"Pri Ganiko",3
"Comportamento",1212137415,"Talita Ribeiro",3
"Comportamento",1212142159,"Tati Baez",3
"Comportamento",3641,"Almôndega",2
"Comportamento",1212123573,"Amigo Imaginário",2
"Comportamento",1212137030,"Carlinhos Troll",2
"Comportamento",1212122462,"Carlos Voltor",2
"Comportamento",1212143219,"Fernanda Costa",2
"Comportamento",1212142293,"Iana Villela",2
"Comportamento",1212143563,"Isabela Del Monde",2
"Comportamento",1212130384,"Lucas Radaelli",2
"Comportamento",4877,"Marco Gomes",2
"Comportamento",1212142435,"Patricia Zarour",2
"Comportamento",1212142073,"Rafael Quina",2
"Comportamento",1212137166,"Roberta Arcoverde",2
"Comportamento",1212144049,"Tatiana Perecin",2
"Comportamento",1212141330,"Tayná Garcia",2
"Comportamento",1212143962,"Thiago Queiroz",2
"Comportamento",1212141244,"Ale Ferreira",1
"Comportamento",1212143792,"Alexandre Nogueira",1
"Comportamento",1212144399,"Ana Bonassa",1
"Comportamento",1212142254,"Ane Vaz",1
"Comportamento",1212144200,"Augusto Quaresma Coellho",1
"Comportamento",1212141954,"Camila Sousa",1
"Comportamento",1212142585,"Carla Rigonatto",1
"Comportamento",1212143391,"Carla Zeglio",1
"Comportamento",1212142478,"Carlos Lazar",1
"Comportamento",1212142131,"Carolina Andrade",1
"Comportamento",1212141446,"Carolina Moraes",1
"Comportamento",1212142586,"Dafne Parreiras Guimarães",1
"Comportamento",1212135982,"Daniel Jezini",1
"Comportamento",1212143522,"Daniela Risso",1
"Comportamento",1212126308,"David Preti",1
"Comportamento",1212144226,"Doug Lira",1
"Comportamento",1212143160,"Dra. Abir Faissal",1
"Comportamento",1212142928,"Edgar Loja Quebra Galho",1
"Comportamento",1212141444,"El Baramallo",1
"Comportamento",1212144199,"Elisa Coelho",1
"Comportamento",1212142372,"Ernesto Goulart",1
"Comportamento",1212143707,"Fernanda Britto",1
"Comportamento",1212142450,"Fernando Bravo",1
"Comportamento",1212135105,"Fernando Reule",1
"Comportamento",1212142927,"Flavia Marcon",1
"Comportamento",1212125499,"Gabriel Dread",1
"Comportamento",1212123034,"Gica Yabu",1
"Comportamento",1212137575,"Gilmar Lopes",1
"Comportamento",1212144184,"Guilherme Baldi",1
"Comportamento",1212144258,"Gus Arruda",1
"Comportamento",1212142811,"Henrique Coronati",1
"Comportamento",1212124762,"Izzy Nobre",1
"Comportamento",1212143151,"Joel Jota",1
"Comportamento",1212143808,"John Gojeth",1
"Comportamento",1212122846,"Jonny Ken",1
"Comportamento",1212143348,"Julio Cesar Batista",1
"Comportamento",1212142810,"Julio Trajano Rodrigues",1
"Comportamento",1212140265,"Katiucha Barcelos",1
"Comportamento",1212125928,"Ken Fujioka",1
"Comportamento",1212144295,"Laura Marise",1
"Comportamento",1212142449,"Leandro Castanheira",1
"Comportamento",1212138478,"Leila",1
"Comportamento",1212144630,"Leonardo Amaral",1
"Comportamento",1212142463,"Lua",1
"Comportamento",1212144436,"Luiz Felippe Fogaça",1
"Comportamento",1212142281,"Maiko Arpino",1
"Comportamento",1212125950,"Marcela Versiani",1
"Comportamento",1212141895,"Marina Freire",1
"Comportamento",1212144062,"Marina de Paula Vilela",1
"Comportamento",1212143066,"Mauro Fantini",1
"Comportamento",1212142902,"Maurício Duboc",1
"Comportamento",1212144061,"Maximiliano Jacomo",1
"Comportamento",1212142611,"Michel Naslavsky",1
"Comportamento",1212142033,"Nicolas Borsoi",1
"Comportamento",1212141465,"Pamela Lopes",1
"Comportamento",1212139590,"Pedro Paulo Silveira",1
"Comportamento",1212141987,"Peter",1
"Comportamento",1212125498,"Pierre Schurmann",1
"Comportamento",1212144269,"Rafael Pimenta",1
"Comportamento",1212143100,"Renatha El Rafihi-Ferreira",1
"Comportamento",1212144671,"Ricardo Rocha",1
"Comportamento",1212143005,"Rodrigo Trespach",1
"Comportamento",1212123647,"Rogério Bonfim",1
"Comportamento",1212143006,"Tawany Rocha",1
"Comportamento",1212142901,"Teo Scussel",1
"Comportamento",1212141331,"Thiago Romariz",1
"Comportamento",1212141033,"Tiago Abravanel",1
"Comportamento",1212144060,"Tiago Zaidan",1
"Comportamento",1212141842,"Tina Menna",1
"Comportamento",1212142607,"Viviane Bellini",1
"Comportamento",1212142893,"Yaso",1
"Cotidiano",1212122464,"Sr.K",41
"Cotidiano",274,"Tucano",36
"Cotidiano",2002,"Portuguesa",23
"Cotidiano",3515,"JP",19
"Cotidiano",1212141723,"Mary Joe",19
"Cotidiano",1212141845,"Pedro Duarte",15
"Cotidiano",2003,"Sra. Jovem Nerd",12
"Cotidiano",1212138478,"Leila",9
"Cotidiano",1212124836,"Guga Mafra",7
"Cotidiano",1212140265,"Katiucha Barcelos",7
"Cotidiano",1212138256,"Lierson Mattenhauer",7
"Cotidiano",1212122798,"Francine Gladulich",6
"Cotidiano",1212139351,"Pri Ganiko",6
"Cotidiano",1212122795,"Affonso Solano",5
"Cotidiano",1212141954,"Camila Sousa",5
"Cotidiano",1212137030,"Carlinhos Troll",5
"Cotidiano",1212142131,"Carolina Andrade",5
"Cotidiano",1212141820,"Daniella Freixo de Faria",5
"Cotidiano",1212122797,"Diogo Braga",5
"Cotidiano",1212130298,"Mau Faccio",5
"Cotidiano",1212131200,"Maurício Linhares",5
"Cotidiano",1212122465,"Afonso 3d",4
"Cotidiano",1212141924,"Alan Dubox",4
"Cotidiano",1212141887,"Azaghal",4
"Cotidiano",1212122796,"Beto Estrada",4
"Cotidiano",2595,"Eduardo Spohr",4
"Cotidiano",1212141891,"Leandro Leite Soares",4
"Cotidiano",1212139440,"Patrícia Mafra",4
"Cotidiano",1212130385,"Paulo Silveira",4
"Cotidiano",1212123847,"André Souza",3
"Cotidiano",1212122862,"Atila",3
"Cotidiano",1212122799,"Fabio Yabu",3
"Cotidiano",1212142053,"Jovem Nerd",3
"Cotidiano",1212137166,"Roberta Arcoverde",3
"Cotidiano",1212138688,"Rossana Modolin",3
"Cotidiano",1212143471,"Vitor Rossi",3
"Cotidiano",3641,"Almôndega",2
"Cotidiano",1212126483,"Barbara Russell",2
"Cotidiano",1212123564,"Caio Gomes",2
"Cotidiano",1212135105,"Fernando Reule",2
"Cotidiano",1212126189,"Flávio Augusto",2
"Cotidiano",1212122317,"Gaveta",2
"Cotidiano",3508,"Guga Ferrari",2
"Cotidiano",1212141781,"Mario Souto",2
"Cotidiano",1212141785,"Priscila Gama",2
"Cotidiano",1212142073,"Rafael Quina",2
"Cotidiano",1212123226,"Rex",2
"Cotidiano",1212141282,"Ricardo di Lazzaro Filho",2
"Cotidiano",1212137415,"Talita Ribeiro",2
"Cotidiano",1212141330,"Tayná Garcia",2
"Cotidiano",1212141842,"Tina Menna",2
"Cotidiano",1212136778,"Adriano Paciello",1
"Cotidiano",1212142348,"Airton Carvalho",1
"Cotidiano",1212138572,"Altay Souza",1
"Cotidiano",1212123573,"Amigo Imaginário",1
"Cotidiano",1212129496,"Ana Arantes",1
"Cotidiano",1212139900,"André Ferreira",1
"Cotidiano",1212142230,"Barbara Pola Russell",1
"Cotidiano",3244,"Bluehand",1
"Cotidiano",1212142585,"Carla Rigonatto",1
"Cotidiano",1212143391,"Carla Zeglio",1
"Cotidiano",1212142478,"Carlos Lazar",1
"Cotidiano",1212122462,"Carlos Voltor",1
"Cotidiano",1212123529,"Cauê Moura",1
"Cotidiano",1212142586,"Dafne Parreiras Guimarães",1
"Cotidiano",1212143160,"Dra. Abir Faissal",1
"Cotidiano",1212142928,"Edgar Loja Quebra Galho",1
"Cotidiano",1212141736,"Eduardo Galanternick",1
"Cotidiano",1212139552,"Emilio Dantas",1
"Cotidiano",1212142372,"Ernesto Goulart",1
"Cotidiano",1212143219,"Fernanda Costa",1
"Cotidiano",1212142450,"Fernando Bravo",1
"Cotidiano",1212142229,"Fernando Russell",1
"Cotidiano",1212127694,"Filipe Figueiredo",1
"Cotidiano",1212142130,"Flavia Calina",1
"Cotidiano",1212141260,"Flavia Luz",1
"Cotidiano",1212142927,"Flavia Marcon",1
"Cotidiano",1212141859,"Gabriel Avila",1
"Cotidiano",326,"Guilherme Briggs",1
"Cotidiano",1212142349,"Gustavo Rebello",1
"Cotidiano",1212142811,"Henrique Coronati",1
"Cotidiano",1212141404,"Iberê",1
"Cotidiano",1212143098,"Igor Savoia",1
"Cotidiano",1212143808,"John Gojeth",1
"Cotidiano",1212141812,"João Victor Guilherme",1
"Cotidiano",1212144744,"Julia Naara Bachmann",1
"Cotidiano",1212142810,"Julio Trajano Rodrigues",1
"Cotidiano",1212144295,"Laura Marise",1
"Cotidiano",1212142449,"Leandro Castanheira",1
"Cotidiano",1212142463,"Lua",1
"Cotidiano",1212142010,"Lucas Inutilismo",1
"Cotidiano",1212130384,"Lucas Radaelli",1
"Cotidiano",1212141968,"Lucas de Carli",1
"Cotidiano",1212141549,"Luciano Inada",1
"Cotidiano",1212141894,"Marcela Soares",1
"Cotidiano",4877,"Marco Gomes",1
"Cotidiano",1212126369,"Mauricio Cid",1
"Cotidiano",1212136384,"Mauricio Taborda",1
"Cotidiano",1212142902,"Maurício Duboc",1
"Cotidiano",1212142611,"Michel Naslavsky",1
"Cotidiano",1212138681,"Naka Morrison",1
"Cotidiano",1212142033,"Nicolas Borsoi",1
"Cotidiano",1212142435,"Patricia Zarour",1
"Cotidiano",1212139590,"Pedro Paulo Silveira",1
"Cotidiano",1212141987,"Peter",1
"Cotidiano",1212125942,"Pirula",1
"Cotidiano",1212144743,"Rafa Maciel",1
"Cotidiano",1212123647,"Rogério Bonfim",1
"Cotidiano",1212141801,"Sidney Magal",1
"Cotidiano",1212142159,"Tati Baez",1
"Cotidiano",1212142901,"Teo Scussel",1
"Cotidiano",1212143962,"Thiago Queiroz",1
"Cotidiano",1212141331,"Thiago Romariz",1
"Cotidiano",1212141033,"Tiago Abravanel",1
"Cotidiano",1212142607,"Viviane Bellini",1
"Cotidiano",1212142536,"Washington Santos",1
"Cotidiano",1212142893,"Yaso",1
"Dia dos Namorados",2002,"Portuguesa",13
"Dia dos Namorados",2003,"Sra. Jovem Nerd",13
"Dia dos Namorados",1212122464,"Sr.K",10
"Dia dos Namorados",1212124811,"Marcelinho",6
"Dia dos Namorados",1212138478,"Leila",3
"Dia dos Namorados",326,"Guilherme Briggs",2
"Dia dos Namorados",1212141924,"Alan Dubox",1
"Dia dos Namorados",1212141723,"Mary Joe",1
"Dia dos Namorados",1212142073,"Rafael Quina",1
"Educação",1212139590,"Pedro Paulo Silveira",29
"Educação",1212139216,"Vinícius Fuzikawa",25
"Educação",1212138688,"Rossana Modolin",22
"Educação",1212124836,"Guga Mafra",16
"Educação",1212126189,"Flávio Augusto",8
"Educação",1212142033,"Nicolas Borsoi",6
"Educação",1212139440,"Patrícia Mafra",5
"Educação",1212140324,"Ian Palanowski",4
"Educação",1212131200,"Maurício Linhares",4
"Educação",1212140088,"Nicholas Kawasaki",4
"Educação",1212130385,"Paulo Silveira",4
"Educação",1212140251,"Ross",4
"Educação",1212122464,"Sr.K",4
"Educação",1212139900,"André Ferreira",3
"Educação",1212123564,"Caio Gomes",3
"Educação",1212141820,"Daniella Freixo de Faria",3
"Educação",1212139741,"Leandro De Checchi",3
"Educação",1212141781,"Mario Souto",3
"Educação",1212141723,"Mary Joe",3
"Educação",1212141924,"Alan Dubox",2
"Educação",1212141988,"Amelia Molino",2
"Educação",1212123847,"André Souza",2
"Educação",1212141947,"Fernanda Lehrer",2
"Educação",1212139217,"Kelly Possebon",2
"Educação",1212137936,"Marcelo Bassoli",2
"Educação",4877,"Marco Gomes",2
"Educação",1212141987,"Peter",2
"Educação",2002,"Portuguesa",2
"Educação",1212137166,"Roberta Arcoverde",2
"Educação",1212138286,"Sérgio Barreto",2
"Educação",274,"Tucano",2
"Educação",1212122795,"Affonso Solano",1
"Educação",3641,"Almôndega",1
"Educação",1212138572,"Altay Souza",1
"Educação",1212129496,"Ana Arantes",1
"Educação",1212142254,"Ane Vaz",1
"Educação",1212122862,"Atila",1
"Educação",1212141887,"Azaghal",1
"Educação",1212140627,"Bruna Sene",1
"Educação",1212141688,"Caio Junqueira de Brito",1
"Educação",1212143391,"Carla Zeglio",1
"Educação",1212137030,"Carlinhos Troll",1
"Educação",1212122462,"Carlos Voltor",1
"Educação",1212141683,"Caroline Souza",1
"Educação",1212141591,"Claudia Chow",1
"Educação",1212141105,"Delcio Gomes",1
"Educação",1212143892,"Dr. Wagner Sanchez",1
"Educação",1212122799,"Fabio Yabu",1
"Educação",1212143219,"Fernanda Costa",1
"Educação",1212135105,"Fernando Reule",1
"Educação",1212127694,"Filipe Figueiredo",1
"Educação",1212141729,"Gabriel Comicholi",1
"Educação",1212125499,"Gabriel Dread",1
"Educação",1212143079,"Getúlio Santos",1
"Educação",1212141199,"Gilson Finkelsztain",1
"Educação",326,"Guilherme Briggs",1
"Educação",1212142811,"Henrique Coronati",1
"Educação",1212141847,"Ian SBF",1
"Educação",1212143616,"Igor Seco",1
"Educação",1212142213,"Isabela Fontanella",1
"Educação",1212140107,"Ivys Urquiza",1
"Educação",3515,"JP",1
"Educação",1212142053,"Jovem Nerd",1
"Educação",1212139063,"João Ferreira",1
"Educação",1212141730,"Jucival Fernandes",1
"Educação",1212141985,"Julia Gutnik",1
"Educação",1212139407,"Julia Mendonça",1
"Educação",1212142810,"Julio Trajano Rodrigues",1
"Educação",1212141682,"Kaká Furlan",1
"Educação",1212141891,"Leandro Leite Soares",1
"Educação",1212138478,"Leila",1
"Educação",1212140792,"Leo Bossan",1
"Educação",1212130384,"Lucas Radaelli",1
"Educação",1212141867,"Luiza Trajano",1
"Educação",1212142281,"Maiko Arpino",1
"Educação",1212142331,"Marcel Campos",1
"Educação",1212125950,"Marcela Versiani",1
"Educação",1212140352,"Marcelo Missioneiro",1
"Educação",1212144062,"Marina de Paula Vilela",1
"Educação",1212144061,"Maximiliano Jacomo",1
"Educação",1212142611,"Michel Naslavsky",1
"Educação",1212133328,"Nathalia Arcuri",1
"Educação",1212141465,"Pamela Lopes",1
"Educação",1212142435,"Patricia Zarour",1
"Educação",1212141588,"Paulo Cuenca",1
"Educação",1212142602,"Pedro Pallotta",1
