"product","categoria","idGuest","convidado","total"
"caneca-de-mamicas","Caneca de Mamicas",1212141723,"Mary Joe",22
"caneca-de-mamicas","Caneca de Mamicas",1212141924,"Alan Dubox",8
"caneca-de-mamicas","Caneca de Mamicas",1212141820,"Daniella Freixo de Faria",7
"caneca-de-mamicas","Caneca de Mamicas",3641,"Almôndega",4
"caneca-de-mamicas","Caneca de Mamicas",1212142131,"Carolina Andrade",4
"caneca-de-mamicas","Caneca de Mamicas",1212122798,"Francine Gladulich",4
"caneca-de-mamicas","Caneca de Mamicas",1212124836,"Guga Mafra",4
"caneca-de-mamicas","Caneca de Mamicas",1212141887,"Azaghal",3
"caneca-de-mamicas","Caneca de Mamicas",1212122799,"Fabio Yabu",3
"caneca-de-mamicas","Caneca de Mamicas",1212139440,"Patrícia Mafra",3
"caneca-de-mamicas","Caneca de Mamicas",1212141987,"Peter",3
"caneca-de-mamicas","Caneca de Mamicas",1212142073,"Rafael Quina",3
"caneca-de-mamicas","Caneca de Mamicas",1212142159,"Tati Baez",3
"caneca-de-mamicas","Caneca de Mamicas",1212141988,"Amelia Molino",2
"caneca-de-mamicas","Caneca de Mamicas",1212141947,"Fernanda Lehrer",2
"caneca-de-mamicas","Caneca de Mamicas",1212142293,"Iana Villela",2
"caneca-de-mamicas","Caneca de Mamicas",1212142053,"Jovem Nerd",2
"caneca-de-mamicas","Caneca de Mamicas",1212138256,"Lierson Mattenhauer",2
"caneca-de-mamicas","Caneca de Mamicas",1212141894,"Marcela Soares",2
"caneca-de-mamicas","Caneca de Mamicas",1212141785,"Priscila Gama",2
"caneca-de-mamicas","Caneca de Mamicas",1212141842,"Tina Menna",2
"caneca-de-mamicas","Caneca de Mamicas",1212142348,"Airton Carvalho",1
"caneca-de-mamicas","Caneca de Mamicas",1212129496,"Ana Arantes",1
"caneca-de-mamicas","Caneca de Mamicas",1212123847,"André Souza",1
"caneca-de-mamicas","Caneca de Mamicas",1212142254,"Ane Vaz",1
"caneca-de-mamicas","Caneca de Mamicas",1212142850,"Angélica Kalil",1
"caneca-de-mamicas","Caneca de Mamicas",1212142230,"Barbara Pola Russell",1
"caneca-de-mamicas","Caneca de Mamicas",1212126483,"Barbara Russell",1
"caneca-de-mamicas","Caneca de Mamicas",1212123564,"Caio Gomes",1
"caneca-de-mamicas","Caneca de Mamicas",1212137030,"Carlinhos Troll",1
"caneca-de-mamicas","Caneca de Mamicas",1212142229,"Fernando Russell",1
"caneca-de-mamicas","Caneca de Mamicas",1212142130,"Flavia Calina",1
"caneca-de-mamicas","Caneca de Mamicas",1212141260,"Flavia Luz",1
"caneca-de-mamicas","Caneca de Mamicas",1212122317,"Gaveta",1
"caneca-de-mamicas","Caneca de Mamicas",1212142349,"Gustavo Rebello",1
"caneca-de-mamicas","Caneca de Mamicas",1212142213,"Isabela Fontanella",1
"caneca-de-mamicas","Caneca de Mamicas",1212142148,"Jefferson Schroeder",1
"caneca-de-mamicas","Caneca de Mamicas",1212141812,"João Victor Guilherme",1
"caneca-de-mamicas","Caneca de Mamicas",1212142463,"Lua",1
"caneca-de-mamicas","Caneca de Mamicas",1212141867,"Luiza Trajano",1
"caneca-de-mamicas","Caneca de Mamicas",1212142281,"Maiko Arpino",1
"caneca-de-mamicas","Caneca de Mamicas",1212141895,"Marina Freire",1
"caneca-de-mamicas","Caneca de Mamicas",1212130298,"Mau Faccio",1
"caneca-de-mamicas","Caneca de Mamicas",1212141465,"Pamela Lopes",1
"caneca-de-mamicas","Caneca de Mamicas",1212142435,"Patricia Zarour",1
"caneca-de-mamicas","Caneca de Mamicas",1212123647,"Rogério Bonfim",1
"caneca-de-mamicas","Caneca de Mamicas",1212141801,"Sidney Magal",1
"caneca-de-mamicas","Caneca de Mamicas",1212122464,"Sr.K",1
"caneca-de-mamicas","Caneca de Mamicas",1212142607,"Viviane Bellini",1
"empreendedor","Empreendedor",1212126189,"Flávio Augusto",81
"empreendedor","Empreendedor",1212126641,"Sandro Magaldi",43
"empreendedor","Empreendedor",4877,"Marco Gomes",6
"empreendedor","Empreendedor",1212130301,"Gustavo Caetano",2
"empreendedor","Empreendedor",1212130088,"Pedro Waengertner",2
"empreendedor","Empreendedor",1212123847,"André Souza",1
"empreendedor","Empreendedor",1212142265,"Caio Carneiro",1
"empreendedor","Empreendedor",1212137030,"Carlinhos Troll",1
"empreendedor","Empreendedor",1212142478,"Carlos Lazar",1
"empreendedor","Empreendedor",1212133229,"Cris Correa",1
"empreendedor","Empreendedor",1212141736,"Eduardo Galanternick",1
"empreendedor","Empreendedor",1212137577,"Fred Trajano",1
"empreendedor","Empreendedor",1212142320,"Gabriel Bollico",1
"empreendedor","Empreendedor",1212132463,"Gina Gotthilf",1
"empreendedor","Empreendedor",1212141810,"Hendel Favarin",1
"empreendedor","Empreendedor",1212125928,"Ken Fujioka",1
"empreendedor","Empreendedor",1212142071,"Kiko Reis",1
"empreendedor","Empreendedor",1212140792,"Leo Bossan",1
"empreendedor","Empreendedor",1212142009,"Marcelo Fadul",1
"empreendedor","Empreendedor",1212142209,"Paulo Jubilut",1
"empreendedor","Empreendedor",1212130385,"Paulo Silveira",1
"empreendedor","Empreendedor",1212130831,"Pedro Sorrentino",1
"empreendedor","Empreendedor",1212141431,"Renan Pizii",1
"empreendedor","Empreendedor",1212140599,"Renata Moraes Vichi",1
"empreendedor","Empreendedor",1212134840,"Renato Hirata",1
"empreendedor","Empreendedor",1212139680,"Rick Chesther",1
"empreendedor","Empreendedor",1212137132,"Robinson Shiba",1
