"product","episode","duration","start-time","end-time"
"caneca-de-mamicas","00",1470,0,0
"caneca-de-mamicas","01",4120,0,0
"caneca-de-mamicas","02",3286,0,0
"caneca-de-mamicas","03",3602,0,0
"caneca-de-mamicas","04",2889,0,0
"caneca-de-mamicas","05",6866,0,0
"caneca-de-mamicas","06",3154,0,0
"caneca-de-mamicas","07",4680,0,0
"caneca-de-mamicas","08",2745,0,0
"caneca-de-mamicas","09",4792,0,0
"caneca-de-mamicas","10",3739,0,0
"caneca-de-mamicas","11",8220,0,0
"caneca-de-mamicas","12",4488,0,0
"caneca-de-mamicas","13",2593,0,0
"caneca-de-mamicas","14",6037,0,0
"caneca-de-mamicas","15",2677,0,0
"caneca-de-mamicas","16",3918,0,0
"caneca-de-mamicas","17",4813,0,0
"caneca-de-mamicas","18",6960,0,0
"caneca-de-mamicas","19",4020,0,0
"caneca-de-mamicas","20",6480,0,0
"caneca-de-mamicas","21",5040,0,0
"caneca-de-mamicas","22",4920,0,0
"caneca-de-mamicas","23",2580,0,0
"caneca-de-mamicas","24",4620,0,0
"caneca-de-mamicas","25",3180,0,0
"caneca-de-mamicas","26",5100,0,0
"caneca-de-mamicas","27",3480,0,0
"caneca-de-mamicas","28",5447,0,0
"caneca-de-mamicas","29",6933,0,0
"caneca-de-mamicas","30",4280,0,0
"caneca-de-mamicas","31",2970,0,0
"caneca-de-mamicas","32",4385,0,0
"caneca-de-mamicas","33",4747,0,0
"caneca-de-mamicas","34",4926,0,0
"caneca-de-mamicas","35",3680,0,0
"caneca-de-mamicas","36",4455,0,0
"caneca-de-mamicas","37",4006,0,0
"caneca-de-mamicas","38",6204,0,0
"caneca-de-mamicas","39",5049,0,0
"caneca-de-mamicas","Oferecido por Empréstimo SIM",5017,0,0
"caneca-de-mamicas","40",4707,0,0
"caneca-de-mamicas","41",2736,0,0
"caneca-de-mamicas","42",4561,0,0
"caneca-de-mamicas","43",3594,0,0
"caneca-de-mamicas","44",4347,0,0
"caneca-de-mamicas","45",3808,0,0
"caneca-de-mamicas","46",4571,0,0
"caneca-de-mamicas","47",5900,0,0
"caneca-de-mamicas","48",5487,0,0
"caneca-de-mamicas","49",4858,0,0
"caneca-de-mamicas","50",4828,0,0
"caneca-de-mamicas","51",5527,0,0
"caneca-de-mamicas","52",5043,0,0
"caneca-de-mamicas","53",5584,0,0
"caneca-de-mamicas","54",4126,0,0
"caneca-de-mamicas","55",6825,0,0
"caneca-de-mamicas","56",5159,0,0
"caneca-de-mamicas","57",4563,0,0
"caneca-de-mamicas","58",6033,0,0
"caneca-de-mamicas","59",4278,0,0
"caneca-de-mamicas","60",4833,0,0
"caneca-de-mamicas","61",4761,0,0
"caneca-de-mamicas","62",6010,0,0
"caneca-de-mamicas","63",4606,0,0
"caneca-de-mamicas","64",3768,0,0
"caneca-de-mamicas","65",4417,0,0
"caneca-de-mamicas","66",3927,0,0
"caneca-de-mamicas","67",5323,0,0
"caneca-de-mamicas","68",3760,0,0
"caneca-de-mamicas","69",4679,0,0
"caneca-de-mamicas","70",4946,0,0
"caneca-de-mamicas","71",5378,0,0
"caneca-de-mamicas","72",5305,0,0
"caneca-de-mamicas","73",4725,0,0
"caneca-de-mamicas","74",4589,0,0
"caneca-de-mamicas","75",7218,0,0
"caneca-de-mamicas","76",4715,0,0
"caneca-de-mamicas","77",4222,0,0
"caneca-de-mamicas","78",3831,0,0
"caneca-de-mamicas","79",5400,0,0
"caneca-de-mamicas","80",5314,0,0
"caneca-de-mamicas","81",5354,0,0
"caneca-de-mamicas","82",5427,0,0
"caneca-de-mamicas","83",3082,0,0
"caneca-de-mamicas","84",4553,0,0
"caneca-de-mamicas","85",4885,0,0
"caneca-de-mamicas","86",6599,0,0
"empreendedor","203",5087,0,0
"empreendedor","243",3491,0,0
"empreendedor","310",4950,0,0
"empreendedor","410",6460,0,0
"empreendedor","01",2070,0,0
"empreendedor","02",2598,0,0
"empreendedor","03",2380,0,0
"empreendedor","04",2924,0,0
"empreendedor","05",3097,0,0
"empreendedor","06",2544,0,0
"empreendedor","07",2485,0,0
"empreendedor","08",2965,0,0
"empreendedor","09",2469,0,0
"empreendedor","10",2796,0,0
"empreendedor","11",3393,0,0
"empreendedor","12",2551,0,0
"empreendedor","13",2953,0,0
"empreendedor","14",2641,0,0
"empreendedor","15",3346,0,0
"empreendedor","16",2801,0,0
"empreendedor","17",3203,0,0
"empreendedor","18",2712,0,0
"empreendedor","19",2774,0,0
"empreendedor","20",2740,0,0
"empreendedor","21",3245,0,0
"empreendedor","22",2184,0,0
"empreendedor","23",3093,0,0
"empreendedor","24",3173,0,0
"empreendedor","25",2941,0,0
"empreendedor","26",2640,0,0
"empreendedor","27",3132,0,0
"empreendedor","28",2657,0,0
"empreendedor","29",2902,0,0
"empreendedor","30",3245,0,0
"empreendedor","31",3773,0,0
"empreendedor","32",2841,0,0
"empreendedor","33",4031,0,0
"empreendedor","34",3073,0,0
"empreendedor","35",4020,0,0
"empreendedor","36",4282,0,0
"empreendedor","37",3257,0,0
"empreendedor","38",3173,0,0
"empreendedor","39",4515,0,0
"empreendedor","40",3334,0,0
"empreendedor","41",3234,0,0
"empreendedor","42",2781,0,0
